,participant,word1,rating1,slider1.rt,word2,rating2,slider2.rt,word3,rating3,slider3.rt,word4,rating4,slider4.rt,word5,rating5,slider5.rt
183,60ff8160e8f2227f8b200510,calm,5.0,3.232,bored,5.0,3.386,content,4.0,2.8267,enjoy,4.0,21.3842,envious,4.0,16.131
184,60ff8160e8f2227f8b200510,sadness,5.0,3.565,pained,5.0,2.5615,upset,5.0,4.0347,hurt,5.0,3.2026,humiliated,5.0,5.2172
185,60ff8160e8f2227f8b200510,excited,5.0,3.6641,happiness,5.0,5.1516,joy,5.0,2.8916,energized,5.0,3.6182,victorious,5.0,9.3127
186,60ff8160e8f2227f8b200510,terrified,5.0,5.3303,sadness,5.0,3.179,angry,5.0,2.9684,upset,5.0,3.3016,grieved,5.0,5.7343
187,60ff8160e8f2227f8b200510,humiliated,5.0,4.0485,excited,5.0,6.6213,frustration,5.0,3.2063,determined,5.0,3.092,energized,5.0,4.8551
188,60ff8160e8f2227f8b200510,scared,5.0,33.1312,uncertain,4.0,6.314,terrified,5.0,4.1878,afraid,5.0,4.5511,upset,5.0,4.2337
202,5deb0be47d91c323213e752b,grossed-out,5.0,8.1596,disgusted,5.0,4.0873,curious,3.0,7.353,loss-of-appetite,4.0,18.6808,anxious,2.0,30.2269
203,5deb0be47d91c323213e752b,neutral,5.0,8.7611,annoyed,2.0,4.5386,indifferent,4.0,4.972,apathetic,4.0,5.2045,disgusted,3.0,5.9381
204,5deb0be47d91c323213e752b,surprised,5.0,2.8946,angry,4.0,5.2714,confused,5.0,3.9391,curious,5.0,3.6389,sad,4.0,6.1042
205,5deb0be47d91c323213e752b,heartwarming,5.0,4.3236,hopeful,4.0,11.9702,surprised,3.0,5.4374,concerned,2.0,14.8517,happy,3.0,16.5166
206,5deb0be47d91c323213e752b,disgusted,5.0,4.7639,loss-of-appetite,5.0,5.6918,angry,3.0,2.8575,grossed-out,5.0,9.5754,upset,3.0,3.5572
207,5deb0be47d91c323213e752b,neutral,5.0,3.8222,indifferent,5.0,3.3879,apathetic,5.0,10.7781,passive,5.0,2.8245,congratulatory,3.0,6.2039
