,participant,word1,rating1,word2,rating2,word3,rating3,word4,rating4,word5,rating5
169,5afbf02302b1b5000103e313,football,5.0,womens,4.0,celebration,4.0,team,3.0,players,4.0
170,5afbf02302b1b5000103e313,pelican,4.0,cleaning,5.0,feathers,5.0,oil,4.0,bird,4.0
171,5afbf02302b1b5000103e313,celebration,4.0,crowd,4.0,woman,3.0,red,4.0,sport,4.0
172,5afbf02302b1b5000103e313,accident,4.0,skateboard,5.0,injury,3.0,boy,3.0,child,4.0
173,5afbf02302b1b5000103e313,money,5.0,celebrity,4.0,woman,4.0,kardashian,3.0,posed,2.0
174,5afbf02302b1b5000103e313,car,5.0,train,5.0,crossing,4.0,nearmiss,4.0,stupid,2.0
175,5afbf02302b1b5000103e313,cars,5.0,traffic,3.0,chaos,3.0,driving,3.0,poor,3.0
176,5afbf02302b1b5000103e313,hilary,4.0,clinton,4.0,woman,3.0,politician,3.0,sitting,3.0
177,5afbf02302b1b5000103e313,bike,4.0,rocks,3.0,cliff,3.0,red,3.0,daring,3.0
178,5afbf02302b1b5000103e313,artist,3.0,artwork,3.0,strange,3.0,funny,3.0,unsettling,3.0
179,5afbf02302b1b5000103e313,fire,5.0,house,5.0,burning,4.0,pool,3.0,green,2.0
180,5afbf02302b1b5000103e313,couple,5.0,old,4.0,love,4.0,sweet,3.0,piano,2.0
181,5afbf02302b1b5000103e313,people,4.0,erotic,3.0,woman,3.0,man,3.0,sepia,2.0
182,5afbf02302b1b5000103e313,night,4.0,dark,4.0,cars,4.0,headlights,4.0,crash,4.0
183,5afbf02302b1b5000103e313,cafe,5.0,restaurant,4.0,empty,5.0,chairs,5.0,outside,3.0
184,5afbf02302b1b5000103e313,dog,5.0,injured,4.0,legs,5.0,dragging,4.0,hurt,4.0
185,5afbf02302b1b5000103e313,basketball,5.0,goal,4.0,celebration,4.0,happy,4.0,tall,3.0
186,5afbf02302b1b5000103e313,plane,5.0,crash,5.0,fire,5.0,unreal,2.0,car,3.0
187,5afbf02302b1b5000103e313,skaters,4.0,race,4.0,winning,4.0,arms,2.0,trying,2.0
188,5afbf02302b1b5000103e313,home,5.0,alone,5.0,funny,4.0,film,5.0,clip,3.0
202,605cd2aefa163d506547bb2d,delicious,4.0,mouth-watering,4.0,sugar,4.0,calories,4.0,treat,4.0
203,605cd2aefa163d506547bb2d,helpful,4.0,war,4.0,team,4.0,brothers,4.0,victory,4.0
204,605cd2aefa163d506547bb2d,unacceptable,4.0,disgusted,4.0,disapointed,4.0,bully,4.0,foul,4.0
205,605cd2aefa163d506547bb2d,stranded,4.0,lonely,5.0,scared,5.0,hopeful,4.0,lucky,4.0
206,605cd2aefa163d506547bb2d,disgusting,5.0,sick,4.0,hangover,4.0,weak,4.0,unwell,4.0
207,605cd2aefa163d506547bb2d,team,5.0,happy,5.0,celebrating,5.0,lucky,5.0,victory,4.0
208,605cd2aefa163d506547bb2d,pain,4.0,injured,4.0,sad,4.0,scared,4.0,worried,4.0
209,605cd2aefa163d506547bb2d,excited,4.0,happy,4.0,congratulations,4.0,victory,4.0,happy,4.0
210,605cd2aefa163d506547bb2d,excrutiating,5.0,painful,5.0,hopeless,4.0,sore,4.0,injured,5.0
211,605cd2aefa163d506547bb2d,fame,4.0,show-off,5.0,wealthy,4.0,role-model,4.0,happy,4.0
212,605cd2aefa163d506547bb2d,close-call,5.0,lucky,4.0,escaped,4.0,anxious,4.0,breathless,4.0
213,605cd2aefa163d506547bb2d,anxious,4.0,nervous,4.0,careful,4.0,unlucky,4.0,disapointed,4.0
214,605cd2aefa163d506547bb2d,unbothered,4.0,surprised,4.0,unphased,4.0,attitude,4.0,dont-care,5.0
215,605cd2aefa163d506547bb2d,daredevil,5.0,anxious,5.0,nervous,5.0,excited,5.0,high,5.0
216,605cd2aefa163d506547bb2d,confused,5.0,thinking,5.0,wondering,5.0,unusual,5.0,surprised,5.0
217,605cd2aefa163d506547bb2d,devastation,5.0,shocked,5.0,sad,5.0,heartache,5.0,disapointed,5.0
218,605cd2aefa163d506547bb2d,partners,5.0,loving,5.0,caring,5.0,acceptable,5.0,honest,5.0
219,605cd2aefa163d506547bb2d,pleasure,5.0,consenting,5.0,adults,5.0,foreplay,5.0,sexual,5.0
220,605cd2aefa163d506547bb2d,dark,5.0,mistake,5.0,accident,5.0,nerve-wrecking,5.0,scared,4.0
221,605cd2aefa163d506547bb2d,relaxed,5.0,peaceful,5.0,calm,5.0,beautiful,5.0,succesful,3.0
222,605cd2aefa163d506547bb2d,injured,5.0,sad,4.0,lonely,4.0,depressed,4.0,emotional,4.0
223,605cd2aefa163d506547bb2d,victory,5.0,scored,5.0,excited,5.0,lucky,5.0,impressive,5.0
224,605cd2aefa163d506547bb2d,tragic,5.0,nervous,5.0,panic,5.0,worry,5.0,shocked,5.0
225,605cd2aefa163d506547bb2d,unlucky,5.0,boasting,5.0,attention,4.0,proud,4.0,ahead,4.0
226,605cd2aefa163d506547bb2d,comedy,5.0,playful,5.0,teasing,5.0,bullying,3.0,thieves,3.0
240,607e90c1f406d76b70d9d8f1,yummy,2.0,chocolate,3.0,cake,3.0,mouth-watering,4.0,plate,2.0
241,607e90c1f406d76b70d9d8f1,war,3.0,independence,3.0,usa,3.0,soldiers,3.0,flag,4.0
242,607e90c1f406d76b70d9d8f1,bus-driver,4.0,violence,3.0,bus,3.0,boys,3.0,hit,3.0
243,607e90c1f406d76b70d9d8f1,rescue,3.0,dogs,3.0,sailors,3.0,iceberg,3.0,boat,4.0
244,607e90c1f406d76b70d9d8f1,funeral,2.0,church,3.0,woman,3.0,vomit,2.0,crying,3.0
245,607e90c1f406d76b70d9d8f1,victory,3.0,ladies,3.0,soccer,2.0,celebration,3.0,uniform,1.0
246,607e90c1f406d76b70d9d8f1,rescue,3.0,bird,3.0,injured,3.0,vet,3.0,attending,2.0
247,607e90c1f406d76b70d9d8f1,match,3.0,strangers,2.0,celebrating,3.0,stadium,2.0,win,3.0
248,607e90c1f406d76b70d9d8f1,boy,4.0,skate-boarding,4.0,incident,3.0,hit,2.0,back-injury,3.0
249,607e90c1f406d76b70d9d8f1,money,4.0,kim-kardashian,4.0,make-it-rain,3.0,rich,3.0,spend,1.0
250,607e90c1f406d76b70d9d8f1,train,3.0,car,3.0,railway-line,3.0,survived,2.0,crash,3.0
251,607e90c1f406d76b70d9d8f1,police,3.0,chase,2.0,vehicle,2.0,road-rules,3.0,arrest,3.0
252,607e90c1f406d76b70d9d8f1,speech,2.0,woman,3.0,spokes-person,3.0,uninterested,3.0,displeased,2.0
253,607e90c1f406d76b70d9d8f1,biker,3.0,mountain,3.0,scary,2.0,sport,3.0,red,3.0
254,607e90c1f406d76b70d9d8f1,puppet,1.0,riding,2.0,bike,3.0,audience,3.0,watching,2.0
255,607e90c1f406d76b70d9d8f1,burning,4.0,house,4.0,chaos,3.0,people,3.0,running,3.0
256,607e90c1f406d76b70d9d8f1,house,2.0,love,2.0,old-couple,4.0,spending,2.0,quality-time,1.0
257,607e90c1f406d76b70d9d8f1,sensual,3.0,couple,3.0,pleasure,3.0,woman,3.0,man,3.0
258,607e90c1f406d76b70d9d8f1,hit,2.0,car-accident,3.0,night,3.0,cars,3.0,dark,3.0
259,607e90c1f406d76b70d9d8f1,empty,3.0,bar,3.0,road,3.0,beautiful,2.0,quiet,2.0
260,607e90c1f406d76b70d9d8f1,injured,3.0,dog,4.0,green-grass,2.0,dragging,3.0,leg,3.0
261,607e90c1f406d76b70d9d8f1,scoring,3.0,victory,4.0,basketball,4.0,win,3.0,player,3.0
262,607e90c1f406d76b70d9d8f1,airpline,5.0,car,5.0,accident,3.0,crash,3.0,explosion,4.0
263,607e90c1f406d76b70d9d8f1,skating,3.0,sport,3.0,players,3.0,close-call,1.0,win,2.0
264,607e90c1f406d76b70d9d8f1,home-alone,3.0,movie,3.0,scared,3.0,kid,3.0,thieves,3.0
278,60603496c9a3d83273a11297,chocolate,5.0,sweet,4.0,sauce,3.0,plate,4.0,strawberry,3.0
279,60603496c9a3d83273a11297,men,4.0,flag,5.0,soldier,5.0,war,3.0,work,3.0
280,60603496c9a3d83273a11297,boys,4.0,walking,4.0,man,4.0,door,3.0,working,3.0
281,60603496c9a3d83273a11297,ice,5.0,ship,5.0,dog,5.0,ocean,4.0,men,3.0
282,60603496c9a3d83273a11297,woman,5.0,vomit,5.0,floor,3.0,flowers,3.0,sick,4.0
283,60603496c9a3d83273a11297,women,5.0,excited,5.0,play,4.0,beautiful,3.0,stadium,3.0
284,60603496c9a3d83273a11297,feathers,5.0,bird,5.0,workers,4.0,table,3.0,cut,3.0
285,60603496c9a3d83273a11297,friends,3.0,hands,4.0,cold,3.0,jacket,3.0,happy,4.0
286,60603496c9a3d83273a11297,pain,5.0,boy,3.0,skateboard,5.0,sad,4.0,play,4.0
287,60603496c9a3d83273a11297,woman,4.0,brunette,3.0,shocked,4.0,lips,3.0,hands,3.0
288,60603496c9a3d83273a11297,car,5.0,train,5.0,nerve-wracking,4.0,robots,3.0,road,3.0
289,60603496c9a3d83273a11297,police,5.0,car,5.0,road,3.0,criminal,4.0,scene,3.0
290,60603496c9a3d83273a11297,bored,4.0,woman,4.0,blonde,3.0,calm,4.0,listen,3.0
291,60603496c9a3d83273a11297,mountain,3.0,biker,4.0,cycling,5.0,helmet,4.0,soil,3.0
292,60603496c9a3d83273a11297,hands,5.0,black,4.0,transport,3.0,walking,4.0,people,4.0
293,60603496c9a3d83273a11297,fire,5.0,house,5.0,sad,3.0,smoke,4.0,arson,3.0
294,60603496c9a3d83273a11297,love,5.0,old,4.0,couple,5.0,calm,4.0,beautiful,5.0
295,60603496c9a3d83273a11297,hands,5.0,hair,5.0,enjoyment,3.0,action,3.0,exciting,4.0
296,60603496c9a3d83273a11297,accident,5.0,night,5.0,lights,4.0,person,4.0,driving,4.0
297,60603496c9a3d83273a11297,restaurants,5.0,window,4.0,tables,4.0,chairs,4.0,taxi,4.0
298,60603496c9a3d83273a11297,injury,5.0,dog,5.0,grass,5.0,rope,4.0,pull,3.0
299,60603496c9a3d83273a11297,game,5.0,winning,5.0,exciting,5.0,ball,4.0,running,4.0
300,60603496c9a3d83273a11297,plane,5.0,car,4.0,accident,4.0,fire,4.0,crash,3.0
301,60603496c9a3d83273a11297,playing,4.0,roller-skate,5.0,men,4.0,competition,4.0,roller-rink,4.0
302,60603496c9a3d83273a11297,criminals,5.0,child,4.0,robe,3.0,door,3.0,hands,3.0
