,word,version,vid
889,fell,1,5
890,vomit,1,5
891,lie,1,5
892,woman,1,5
893,drunk,1,5
894,chuck,1,5
895,funny,1,5
896,absurd,1,5
897,ridiculous,1,5
898,intriguing,1,5
899,lynchian,1,5
900,disgusted,2,5
901,upset,2,5
902,abhorrent,2,5
903,yucky,2,5
904,turn-away,2,5
905,disgust,2,5
906,anguish,2,5
907,appalled,2,5
908,sick,2,5
909,nausea,2,5
910,digust,2,5
911,cnfused,2,5
912,shocked,2,5
913,gross,2,5
914,unhappy,2,5
915,sick,2,5
916,grossed-out,2,5
917,shocked,2,5
918,nervous,2,5
919,unsure,2,5
920,disgusted,2,5
921,scared,2,5
922,angry,2,5
923,afraid,2,5
924,pained,2,5
925,disgusted,2,5
926,loss-of-appetite,2,5
927,angry,2,5
928,grossed-out,2,5
929,upset,2,5
930,sick,2,5
931,difficult,2,5
932,cold,2,5
933,vomit,2,5
934,sickness,2,5
935,sick,2,5
936,disgusted,2,5
937,horrified,2,5
938,sympathy,2,5
939,empathy,2,5
940,disgust,2,5
941,pleasant,2,5
942,unpleasant,2,5
943,outburst,2,5
944,repulsive,2,5
945,disgusting,2,5
946,sorry-for,2,5
947,unhygenic,2,5
948,gross,2,5
949,funny,2,5
950,disgusted,2,5
951,cringe,2,5
952,uneasy,2,5
953,sickened,2,5
954,annoyed,2,5
955,sympathize,2,5
956,upsetting,2,5
957,nauseated,2,5
958,unappealing,2,5
959,stuffed,2,5
960,disgusted,2,5
961,amused,2,5
962,upset,2,5
963,happiness,2,5
964,content,2,5
965,disgusted,2,5
966,amused,2,5
967,grossed-out,2,5
968,annoyed,2,5
969,stressed,2,5
970,disgust,2,5
971,gross,2,5
972,sad,2,5
973,regret,2,5
974,remorse,2,5
975,disgust,2,5
976,uneasy,2,5
977,disbelief,2,5
978,disturbed,2,5
979,nauseated,2,5
980,neutral,2,5
981,repulsed,2,5
982,uncaring,2,5
983,avoidant,2,5
984,head-shaking,2,5
985,disgust,2,5
986,angry,2,5
987,sick,2,5
988,anger,2,5
989,calm,2,5
990,neutral,2,5
991,content,2,5
992,bored,2,5
993,disappointed,2,5
994,same-same,2,5
995,disgust,2,5
996,gross,2,5
997,nauseous,2,5
998,distaste,2,5
999,abhor,2,5
1000,team,1,6
1001,women,1,6
1002,happy,1,6
1003,teamwork,1,6
1004,sports,1,6
1005,football,1,6
1006,women,1,6
1007,exciting,1,6
1008,lionesses,1,6
1009,wonderful,1,6
1010,happy,1,6
1011,delight,1,6
1012,football,1,6
1013,women,1,6
1014,usa,1,6
1015,happy,1,6
1016,win,1,6
1017,game,1,6
1018,women,1,6
1019,match,1,6
1020,football,1,6
1021,womens,1,6
1022,celebration,1,6
1023,team,1,6
1024,players,1,6
1025,team,1,6
1026,happy,1,6
1027,celebrating,1,6
1028,lucky,1,6
1029,victory,1,6
1030,victory,1,6
1031,ladies,1,6
1032,soccer,1,6
1033,celebration,1,6
1034,uniform,1,6
1035,women,1,6
1036,excited,1,6
1037,play,1,6
1038,beautiful,1,6
1039,stadium,1,6
1040,team,1,6
1041,woman-soccer,1,6
1042,embrace,1,6
1043,victory,1,6
1044,excitement,1,6
1045,girls,1,6
1046,congratulations,1,6
1047,sport,1,6
1048,sport,1,6
1049,togetherness,1,6
1050,women,1,6
1051,sport,1,6
1052,celebrating,1,6
1053,happy,1,6
1054,victory,1,6
1055,football,1,6
1056,soccer,1,6
1057,womens-football,1,6
1058,victory,1,6
1059,win,1,6
1060,celebrate,1,6
1061,happy,1,6
1062,sport,1,6
1063,women,1,6
1064,congratulate,1,6
1065,happy,1,6
1066,friendly,1,6
1067,sporty,1,6
1068,game,1,6
1069,physical,1,6
1070,women,1,6
1071,football,1,6
1072,match,1,6
1073,outside,1,6
1074,competition,1,6
1075,happy,1,6
1076,soccer,1,6
1077,team,1,6
1078,victory,1,6
1079,score,1,6
1080,hug,1,6
1081,women,1,6
1082,sport,1,6
1083,gear,1,6
1084,happy,1,6
1085,exciting,1,6
1086,happy,1,6
1087,fun,1,6
1088,run,1,6
1089,win,1,6
1090,celebrate,1,6
1091,womans,1,6
1092,sport,1,6
1093,goal,1,6
1094,football,1,6
1095,women,1,6
1096,sport,1,6
1097,team,1,6
1098,goal,1,6
1099,win,1,6
1100,happya,2,6
1101,impressed,2,6
1102,energized,2,6
1103,excited,2,6
1104,relieved,2,6
1105,happiness,2,6
1106,victory,2,6
1107,triumph,2,6
1108,connected,2,6
1109,gleeful,2,6
1110,happy,2,6
1111,relief,2,6
1112,excite,2,6
1113,good,2,6
1114,attracted,2,6
1115,confused,2,6
1116,sad,2,6
1117,scared,2,6
1118,confused,2,6
1119,calm,2,6
1120,happiness,2,6
1121,pride,2,6
1122,excited,2,6
1123,togetherness,2,6
1124,interested,2,6
1125,neutral,2,6
1126,indifferent,2,6
1127,apathetic,2,6
1128,passive,2,6
1129,congratulatory,2,6
1130,happy,2,6
1131,digest,2,6
1132,many,2,6
1133,dobber,2,6
1134,mony,2,6
1135,happy,2,6
1136,unified,2,6
1137,proud,2,6
1138,inspired,2,6
1139,excite,2,6
1140,joy,2,6
1141,accomplished,2,6
1142,pride,2,6
1143,excited,2,6
1144,sporty,2,6
1145,aroused,2,6
1146,happy,2,6
1147,passionate,2,6
1148,awesome,2,6
1149,warm,2,6
1150,happy,2,6
1151,calm,2,6
1152,relaxed,2,6
1153,joyful,2,6
1154,proud,2,6
1155,joy,2,6
1156,solidarity,2,6
1157,proud,2,6
1158,jovial,2,6
1159,pleased,2,6
1160,excite,2,6
1161,encouraged,2,6
1162,motivated,2,6
1163,happiness,2,6
1164,optimistic,2,6
1165,amused,2,6
1166,bored,2,6
1167,uninterested,2,6
1168,disengaged,2,6
1169,bored,2,6
1170,indifferent,2,6
1171,happy,2,6
1172,sad,2,6
1173,regret,2,6
1174,calm,2,6
1175,calm,2,6
1176,indifferent,2,6
1177,bored,2,6
1178,disinterest,2,6
1179,optimistic,2,6
1180,bored,2,6
1181,distracted,2,6
1182,tired,2,6
1183,neutral,2,6
1184,calm,2,6
1185,happy,2,6
1186,team,2,6
1187,excited,2,6
1188,forward,2,6
1189,universial,2,6
1190,happy,2,6
1191,proud,2,6
1192,congratulatory,2,6
1193,celebratory,2,6
1194,supportive,2,6
1195,neutral,2,6
1196,delight,2,6
1197,celebrate,2,6
1198,worthy,2,6
1199,calm,2,6
1200,wing,1,7
1201,feather,1,7
1202,people,1,7
1203,cleaning,1,7
1204,helping,1,7
1205,oil,1,7
1206,bird,1,7
1207,saving,1,7
1208,disaster,1,7
1209,sick,1,7
1210,pollution,1,7
1211,horrible,1,7
1212,oil,1,7
1213,environment,1,7
1214,cleanup,1,7
1215,bird,1,7
1216,rescue,1,7
1217,care,1,7
1218,help,1,7
1219,pelican,1,7
1220,pelican,1,7
1221,cleaning,1,7
1222,feathers,1,7
1223,oil,1,7
1224,bird,1,7
1225,pain,1,7
1226,injured,1,7
1227,sad,1,7
1228,scared,1,7
1229,worried,1,7
1230,rescue,1,7
1231,bird,1,7
1232,injured,1,7
1233,vet,1,7
1234,attending,1,7
1235,feathers,1,7
1236,bird,1,7
1237,workers,1,7
1238,table,1,7
1239,cut,1,7
1240,bird,1,7
1241,man,1,7
1242,rescue-team,1,7
1243,yellow-overalls,1,7
1244,man,1,7
1245,bird,1,7
1246,oil-slick,1,7
1247,help,1,7
1248,nature,1,7
1249,saviours,1,7
1250,bird,1,7
1251,saving,1,7
1252,cleaning,1,7
1253,saddening,1,7
1254,safety-clothing,1,7
1255,rescue,1,7
1256,bird,1,7
1257,vulture,1,7
1258,vet,1,7
1259,veterinary,1,7
1260,oil,1,7
1261,bird,1,7
1262,pelican,1,7
1263,pollution,1,7
1264,spill,1,7
1265,caring,1,7
1266,pleasant,1,7
1267,kind,1,7
1268,compassionate,1,7
1269,soft,1,7
1270,peligan,1,7
1271,oil,1,7
1272,cleaning,1,7
1273,contaminaton,1,7
1274,rescue,1,7
1275,bird,1,7
1276,resce,1,7
1277,volunteers,1,7
1278,beak,1,7
1279,injured,1,7
1280,bird,1,7
1281,water,1,7
1282,women,1,7
1283,yellow,1,7
1284,blue,1,7
1285,help,1,7
1286,scared,1,7
1287,batter,1,7
1288,fly,1,7
1289,high,1,7
1290,oil,1,7
1291,spill,1,7
1292,wildlife,1,7
1293,saving,1,7
1294,greenpeace,1,7
1295,pelican,1,7
1296,oil,1,7
1297,environmental-damage,1,7
1298,environment,1,7
1299,disaster,1,7
1300,sad,2,7
1301,hopeful,2,7
1302,disgust,2,7
1303,upset,2,7
1304,compassion,2,7
1305,happiness,2,7
1306,compassion,2,7
1307,optimistic,2,7
1308,hopeful,2,7
1309,confident,2,7
1310,sad,2,7
1311,angry,2,7
1312,relief,2,7
1313,care,2,7
1314,hope,2,7
1315,sad,2,7
1316,unsure,2,7
1317,anxious,2,7
1318,nervous,2,7
1319,disappointed,2,7
1320,curious,2,7
1321,happy,2,7
1322,safe,2,7
1323,kindness,2,7
1324,calm,2,7
1325,sad,2,7
1326,concerned,2,7
1327,disturbed,2,7
1328,depressed,2,7
1329,curious,2,7
1330,happy,2,7
1331,cleaning,2,7
1332,kkind,2,7
1333,great,2,7
1334,clean,2,7
1335,inspired,2,7
1336,admiration,2,7
1337,hopeful,2,7
1338,proud,2,7
1339,relieved,2,7
1340,oil,2,7
1341,disaster,2,7
1342,cruel,2,7
1343,safe,2,7
1344,good-will,2,7
1345,sad,2,7
1346,angry,2,7
1347,hopeful,2,7
1348,guilty,2,7
1349,frustrated,2,7
1350,thankful,2,7
1351,happy,2,7
1352,calm,2,7
1353,impressed,2,7
